 Το μονοπάτι που άφησε το πέρασμα της ηρωίνης και της κάνναβης είναι εμφανές, ειδικά στην πρωτεύουσα του Κόσοβου, την Πριστίνα.  Από τον Νάταν Ντόταν για τους Southeast European Times στην Πριστίνα - 20/01/03Η πρόσφατη έρευνα των WHO/UNICEF σχετικά με την χρήση ναρκωτικών ουσιών από νέους βρήκε ότι 11,6 τοις εκατό των νέων που έλαβαν μέρος στις συνεντεύξεις στην Πριστίνα είχαν πειραματιστεί με ηρωίνη. 	 The trail left by the passage of heroin and cannabis is evident, especially in Kosovo's capital city, Pristina.  By Natan Dotan for Southeast European Times in Pristina - 20/01/03According to WHO/UNICEF, 11.6 per cent of young people interviewed in Pristina during a recent survey on youth and substance abuse said they have experimented with heroin.The survey also found that 6.4 per cent of youths interviewed in the province had tried the drug - a figure which places Kosovo high on the list of European regions afflicted with heroin use.The police response has been sporadic. 
 Ενώ ένα σπιρτόκουτο με κάνναβη περίπου των 3 με 5 γραμμαρίων, κοστίζει περίπου 5 Ευρώ στο Κόσοβο, στους δρόμους της Νέας Υόρκης η ίδια ποσότητα θα φέρει περίπου 17 με 30 δολάρια.Η ζήτηση για ναρκωτικά στο Κόσοβο δεν είναι αποκλειστικά περιορισμένη στα παράνομα ναρκωτικά. 	 While a matchbox full of cannabis, about 3 to 5 grams, costs around 5 euros in Kosovo, on the streets of New York City the same amount may fetch between $17 and $30.The demand for drugs in Kosovo is not exclusively limited to illegal narcotics. 
 Όταν φτάνουν, θέτουν τα κοντέινερ σε κύκλο και καλύπτουν το χώρο του κέντρου με θόλο. 	 There, they organise concerts and theatre performances, discussions, workshops, exhibitions, dancing and music.They form a high school newspaper in each city, leaving all the necessary equipment and money for printing on their departure. 
 Αλλά μετά από μία παύση μίας ώρας, το DOS κατάφερε να αποσπάσει αρκετούς βουλευτές του Σοσιαλιστικού κόμματος, που κρατούν τις θέσεις τους παράνομα με την άδεια του κυβερνώντος συνασπισμού. 	 But after a one-hour break, DOS managed to bring in several breakaway Socialist MPs, who are holding their seats illegally with the ruling coalition's permission. 
 Οι αγορές θα πρέπει να ρυθμίζονται καταλλήλως και το κράτος θα πρέπει να παράσχει απαραίτητα δημόσια αγαθά, τα οποία θα περιορίζουν τις ιδιωτικές αποδόσεις. 	 Dani Rodrik, the well-known Harvard University academic, aptly observed that there is no modern economy that does not blend the public and the private spheres. 
 Οι χρηματαγορές -- υπό την πίεση των ευμετάβλητων κεφαλαιακών εισροών -- λειτουργούν επισφαλώς, και το σύστημα χρειάζεται αναθεώρηση. 	 Financial markets - under the pressure of volatile capital flows - function precariously, and the system needs revision. 
 Το να βρει χρήματα για να αγοράσει τρόφιμα δεν είναι εύκολη υπόθεση αφού έχει πληρώσει τους λογαριασμούς του τηλεφώνου και του ηλεκτρικού ρεύματος. 	 Finding money to buy food doesn't come easily after she pays her telephone and electricity bills. 
 Η Τρνκα, 72 ετών, μια γυναίκα τρωγλοδύτης με καστανά μαλλιά και έντονα σκούρα μάτια, είπε ότι δεν βοηθάει το γεγονός ότι αναγκάζεται να αγοράζει φάρμακα για την προβληματική καρδιά της."Τίποτα δεν είναι δωρεάν, όλα κοστίζουν 5 ή 10 [γερμανικά μάρκα] το κομμάτι," είπε, πίνοντας καφέ στο σπίτι της στη λοφώδη γειτονιά Μπρέκα του Σεράγεβο.Είπε ότι ένας από τους γιους της, ο οποίος είναι συγγραφέας, προσπαθεί να τη βοηθά όταν πουλά μερικά βιβλία. 	 Trnka, 72, a tiny, wren-like woman with fluffy brownish hair and sharp dark eyes, said that it doesn't help matters that she has to buy medicine for her bad heart."Nothing's free, everything's 5 or 10 [DM] apiece," she said, sipping coffee in her house in Sarajevo's hilly Breka neighbourhood.She said that one of her sons, who's a writer, tries to help her out when he sells some books. 
 Όλοι περίμεναν από τη Γιουγκοσλαβία -- η οποία μοίραζε βασιλικές συντάξεις που έμοιαζαν με μισθούς κάθε μήνα -- να τους φροντίσει. 	 All of them expected Yugoslavia -- which distributed kingly pensions on par with salaries every month -- to take care of them. 
 Οι Σέρβοι αγωνιούν τόσο για να εργαστούν (το ποσοστό ανεργίας της χώρας ανέρχεται σε περίπου 40 τοις εκατό) που θα αναλάβουν εργασίες σε εταιρίες της παραοικονομίας που δεν πληρώνουν φόρους, ιατρική περίθαλψη ή εισφορές. 	 Serbians are so anxious to work (the country's unemployment rate is about 40 per cent) that they'll take jobs in "grey economy" companies that don't pay taxes, health care or pension contributions. 
